# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 260:         5.180       52.100       1.90  DE BILT
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DDVEC    = Vector mean wind direction in degrees (360=north, 90=east, 180=south, 270=west, 0=calm/variable); 
# FHVEC    = Vector mean windspeed (in 0.1 m/s); 
# FG       = Daily mean windspeed (in 0.1 m/s); 
# FHX      = Maximum hourly mean windspeed (in 0.1 m/s); 
# FHXH     = Hourly division in which FHX was measured; 
# FHN      = Minimum hourly mean windspeed (in 0.1 m/s); 
# FHNH     = Hourly division in which FHN was measured; 
# FXX      = Maximum wind gust (in 0.1 m/s); 
# FXXH     = Hourly division in which FXX was measured; 
# TG       = Daily mean temperature in (0.1 degrees Celsius); 
# TN       = Minimum temperature (in 0.1 degrees Celsius); 
# TNH      = Hourly division in which TN was measured; 
# TX       = Maximum temperature (in 0.1 degrees Celsius); 
# TXH      = Hourly division in which TX was measured; 
# T10N     = Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius); 
# T10NH    = 6-hourly division in which T10N was measured; 6=0-6 UT, 12=6-12 UT, 18=12-18 UT, 24=18-24 UT
# SQ       = Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour); 
# SP       = Percentage of maximum potential sunshine duration; 
# Q        = Global radiation (in J/cm2); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# PG       = Daily mean sea level pressure (in 0.1 hPa) calculated from 24 hourly values; 
# PX       = Maximum hourly sea level pressure (in 0.1 hPa); 
# PXH      = Hourly division in which PX was measured; 
# PN       = Minimum hourly sea level pressure (in 0.1 hPa); 
# PNH      = Hourly division in which PN was measured; 
# VVN      = Minimum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVNH     = Hourly division in which VVN was measured; 
# VVX      = Maximum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVXH     = Hourly division in which VVX was measured; 
# NG       = Mean daily cloud cover (in octants, 9=sky invisible); 
# UG       = Daily mean relative atmospheric humidity (in percents); 
# UX       = Maximum relative atmospheric humidity (in percents); 
# UXH      = Hourly division in which UX was measured; 
# UN       = Minimum relative atmospheric humidity (in percents); 
# UNH      = Hourly division in which UN was measured; 
# 
# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH, EV24,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH
# 
  260,19890701,  230,   21,   31,   46,   14,   15,    8,   98,   14,  157,  137,    7,  185,   17,  136,     ,    0,    0,  528,   38,   81,   29,     ,    9,10095,10126,     ,10079,     ,   28,   11,   68,    1,    8,   86,   95,    9,   68,    1
  260,19890702,  344,   36,   41,   51,   11,   21,    1,  103,   15,  155,  142,   24,  181,   15,  136,     ,   -1,    0,  624,   17,    7,    4,     ,   10,10173,10244,     ,10108,     ,   43,   12,   68,   23,    6,   85,   94,   10,   79,    7
  260,19890703,   39,   41,   46,   67,   17,   15,    4,  123,   18,  181,  121,    4,  234,   14,  105,     ,  142,   85, 2742,    0,    0,    0,     ,   48,10259,10270,     ,10247,     ,   60,    4,   80,   10,    2,   66,   97,    4,   45,   14
  260,19890704,   51,   41,   41,   67,   14,   26,    1,  123,   14,  191,  117,    3,  244,   16,  108,     ,  143,   86, 2702,    0,    0,    0,     ,   48,10247,10258,     ,10230,     ,   60,    3,   82,   11,    2,   65,   91,    2,   45,   13
  260,19890705,   47,   41,   46,   57,   10,   26,   24,  103,   12,  223,  159,    4,  288,   16,  153,     ,  128,   77, 2521,    0,    0,    0,     ,   48,10241,10254,     ,10224,     ,   60,    5,   75,    2,    0,   68,   82,    2,   51,   14
  260,19890706,   88,   31,   31,   57,   13,   15,    2,  103,   13,  252,  168,    5,  315,   14,  159,     ,  115,   69, 2468,    0,    0,    0,     ,   49,10199,10225,     ,10157,     ,   57,    6,   65,    1,    1,   57,   85,    3,   36,   13
  260,19890707,  157,   21,   36,   57,   12,    5,   24,  113,   12,  239,  171,   24,  291,   12,  143,     ,   98,   59, 2344,    3,    1,    1,     ,   45,10130,10154,     ,10118,     ,   45,   24,   70,   15,    3,   66,   98,   24,   52,   15
  260,19890708,  206,    5,   15,   31,   13,    5,    1,   93,   15,  200,  147,    5,  265,   12,  121,     ,   41,   25, 1605,    7,   45,   45,     ,   29,10137,10143,     ,10128,     ,   12,    4,   58,   13,    5,   84,  100,    4,   54,   12
  260,19890709,  327,   21,   21,   41,   13,   10,    1,   93,   13,  179,  150,   22,  220,   12,  150,     ,    9,    5, 1032,   11,   43,   29,     ,   18,10169,10216,     ,10138,     ,   18,    3,   70,   23,    8,   87,   97,    1,   78,    9
  260,19890710,  312,   15,   21,   36,   14,    5,   23,   77,   14,  159,  111,   24,  201,   14,   80,     ,   49,   30, 1546,    0,    0,    0,     ,   26,10231,10239,     ,10217,     ,   50,   20,   80,   14,    5,   75,   97,   23,   57,   14
  260,19890711,  321,   10,   15,   26,   16,    5,    1,   51,   11,  170,  113,    1,  232,   15,   82,     ,   55,   33, 1754,    0,    0,    0,     ,   30,10240,10248,     ,10231,     ,   30,    5,   62,   19,    4,   79,  100,    5,   56,   14
  260,19890712,  287,   21,   26,   46,   12,    5,    1,   98,   16,  168,   97,    3,  229,   10,   65,     ,   80,   49, 1997,    0,    0,    0,     ,   34,10215,10227,     ,10206,     ,    9,    2,   75,   15,    3,   77,  100,    3,   55,    9
  260,19890713,  296,   31,   36,   57,   16,   10,    1,  113,   16,  159,  114,    4,  207,   11,   86,     ,   63,   38, 1704,    0,   -1,   -1,     ,   29,10192,10208,     ,10184,     ,   59,    8,   75,    1,    5,   73,   90,    1,   57,   13
  260,19890714,  321,   31,   36,   51,   13,   10,   22,  118,   13,  143,   97,   23,  186,   13,   54,     ,   69,   42, 1689,    0,   -1,   -1,     ,   27,10214,10237,     ,10187,     ,   75,    1,   80,    5,    5,   69,   92,   23,   52,   12
  260,19890715,  281,   31,   36,   62,   14,   10,    1,  123,   13,  162,   94,    2,  226,   13,   57,     ,   75,   46, 2114,    0,   -1,   -1,     ,   36,10215,10226,     ,10206,     ,   61,   11,   72,    1,    5,   73,   92,   24,   51,   13
  260,19890716,  326,   26,   31,   57,   15,    5,   23,  108,   13,  152,   91,   24,  210,   14,   50,     ,   68,   42, 1717,    0,   -1,   -1,     ,   28,10247,10269,     ,10222,     ,   65,    1,   82,   14,    4,   73,   95,   24,   49,   14
